,Location name,Address,Day,Times,What to do,Date added,gcode,lat,long
89,Domino's Pizza Beach Haven,"104 Beach Haven Road, Beach Haven, Auckland 0626",Friday 13 August,7.45 pm - 8.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '104', 'short_name': '104', 'types': ['street_number']}, {'long_name': 'Beach Haven Road', 'short_name': 'Beach Haven Rd', 'types': ['route']}, {'long_name': 'Beach Haven', 'short_name': 'Beach Haven', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': '104 Beach Haven Road, Beach Haven, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.7913695, 'lng': 174.68755}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.79002051970851, 'lng': 174.6888989802915}, 'southwest': {'lat': -36.79271848029151, 'lng': 174.6862010197085}}}, 'place_id': 'ChIJb7fJDNU-DW0RJewhDNe1TAQ', 'plus_code': {'compound_code': '6M5Q+F2 Auckland, New Zealand', 'global_code': '4VMP6M5Q+F2'}, 'types': ['street_address']}]",-36.7913695,174.68755
90,Chu Thai Eatery,"224 Ponsonby Road, Ponsonby, 1011",Friday 13 August,6.30 pm - 8.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '224', 'short_name': '224', 'types': ['street_number']}, {'long_name': 'Ponsonby Road', 'short_name': 'Ponsonby Rd', 'types': ['route']}, {'long_name': 'Ponsonby', 'short_name': 'Ponsonby', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1011', 'short_name': '1011', 'types': ['postal_code']}], 'formatted_address': '224 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand', 'geometry': {'location': {'lat': -36.8528164, 'lng': 174.7449636}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.85146741970851, 'lng': 174.7463125802915}, 'southwest': {'lat': -36.85416538029151, 'lng': 174.7436146197085}}}, 'place_id': 'ChIJVVm1HpFHDW0R5oOQg4Eqsk4', 'plus_code': {'compound_code': '4PWV+VX Auckland, New Zealand', 'global_code': '4VMP4PWV+VX'}, 'types': ['street_address']}]",-36.8528164,174.7449636
91,Black Bull Liquor Store,"54 Northcote Road, Northcote, 0627",Friday 13 August,6.40 pm - 6.45 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '54', 'short_name': '54', 'types': ['street_number']}, {'long_name': 'Northcote Road', 'short_name': 'Northcote Rd', 'types': ['route']}, {'long_name': 'Northcote', 'short_name': 'Northcote', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': '54 Northcote Road, Northcote, Auckland 0627, New Zealand', 'geometry': {'location': {'lat': -36.793944, 'lng': 174.746195}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7925950197085, 'lng': 174.7475439802915}, 'southwest': {'lat': -36.7952929802915, 'lng': 174.7448460197085}}}, 'place_id': 'ChIJtxwRarM5DW0RvnR4pf8B-WE', 'plus_code': {'compound_code': '6P4W+CF Auckland, New Zealand', 'global_code': '4VMP6P4W+CF'}, 'types': ['street_address']}]",-36.793944,174.746195
92,Countdown Birkenhead,"Cnr Highbury Pass, Birkenhead, 0626",Friday 13 August,6.00 pm - 6.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': 'Birkenhead', 'short_name': 'Birkenhead', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'AUK', 'short_name': 'AUK', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': 'Cnr Highbury Pass & Birkenhead Ave, Birkenhead, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.8113027, 'lng': 174.7248615}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.8099537197085, 'lng': 174.7262104802915}, 'southwest': {'lat': -36.8126516802915, 'lng': 174.7235125197085}}}, 'partial_match': True, 'place_id': 'ChIJNQqq4PM4DW0R3rjd1fc6zPc', 'plus_code': {'compound_code': '5PQF+FW Auckland, New Zealand', 'global_code': '4VMP5PQF+FW'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store']}]",-36.8113027,174.7248615
93,Starbucks Westfield Albany mall,"Level 2, 219 Don McKinnon Drive, Albany, 0632",Friday 13 August,5.45 pm - 6.00pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '2/219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7268108, 'lng': 174.7055981}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7254618197085, 'lng': 174.7069470802915}, 'southwest': {'lat': -36.72815978029149, 'lng': 174.7042491197085}}}, 'place_id': 'ChIJYT-1g5Q7DW0RkTDa2up-k5k', 'types': ['subpremise']}]",-36.7268108,174.7055981
94,Albany Westfield Mall,"219 Don McKinnon Drive, Albany, 0632",Friday 13 August,5.10 pm - 6.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
95,Train Britomart to Panmure,Auckland,Friday 13 August,4.30 pm - 4.50 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}], 'formatted_address': 'Auckland, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}, 'location': {'lat': -36.85088270000001, 'lng': 174.7644881}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}}, 'place_id': 'ChIJ--acWvtHDW0RF5miQ2HvAAU', 'types': ['locality', 'political']}]",-36.85088270000001,174.7644881
96,Sweat Shop Brew Kitchen,"7 Sale Street, Freemans Bay, Auckland CBD, 1010",Friday 13 August,9.00 pm - 12.00 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '7', 'short_name': '7', 'types': ['street_number']}, {'long_name': 'Sale Street', 'short_name': 'Sale St', 'types': ['route']}, {'long_name': 'Freemans Bay', 'short_name': 'Freemans Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '7 Sale Street, Freemans Bay, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8490287, 'lng': 174.7568855}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8476797197085, 'lng': 174.7582344802915}, 'southwest': {'lat': -36.8503776802915, 'lng': 174.7555365197085}}}, 'place_id': 'ChIJMQMFD_JHDW0RGsaZc7gJ9BI', 'types': ['subpremise']}]",-36.8490287,174.7568855
97,Liquor King Ponsonby,"254 Ponsonby Road, Ponsonby, Auckland, 1011",Friday 13 August,6.15 pm - 6.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '254', 'short_name': '254', 'types': ['street_number']}, {'long_name': 'Ponsonby Road', 'short_name': 'Ponsonby Rd', 'types': ['route']}, {'long_name': 'Ponsonby', 'short_name': 'Ponsonby', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1011', 'short_name': '1011', 'types': ['postal_code']}], 'formatted_address': '254 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand', 'geometry': {'location': {'lat': -36.8509943, 'lng': 174.7443996}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8496453197085, 'lng': 174.7457485802915}, 'southwest': {'lat': -36.85234328029149, 'lng': 174.7430506197085}}}, 'place_id': 'ChIJ0cZxUpBHDW0RHNuVi52kaWA', 'plus_code': {'compound_code': '4PXV+JQ Auckland, New Zealand', 'global_code': '4VMP4PXV+JQ'}, 'types': ['street_address']}]",-36.8509943,174.7443996
98,Matsu Sushi Bar Westfield Albany Mall,"219 Don McKinnon Drive, Albany, Auckland 0632",Friday 13 August,5.45 pm - 5.50 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
99,Foodcourt Westfield Albany,"219 Don McKinnon Drive, Albany, Auckland 0632",Friday 13 August,5.45 pm - 6.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
100,Kmart Westfield Albany,"219 Don McKinnon Drive, Albany, Auckland 0632",Friday 13 August,5.30 pm - 5.45 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
101,HYPE DC Westfield Albany Mall,"Shop 254/219 Don McKinnon Drive, Albany, Auckland, 0632",Friday 13 August,5.22 pm - 5.29 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': 'Shop 254', 'short_name': 'Shop 254', 'types': ['subpremise']}, {'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': 'Shop 254/219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.728538, 'lng': 174.7083703}, 'southwest': {'lat': -36.7287084, 'lng': 174.7082178}}, 'location': {'lat': -36.7286668, 'lng': 174.7082683}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.72727421970851, 'lng': 174.7096430302915}, 'southwest': {'lat': -36.7299721802915, 'lng': 174.7069450697085}}}, 'place_id': 'ChIJo5LBKJU7DW0RijWwOtfQyN8', 'types': ['subpremise']}]",-36.7286668,174.7082683
102,JB HiFi Westfield Albany,"219 Don McKinnon Drive, Albany, Auckland 0632",Friday 13 August,5.15 pm - 5.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
103,Stirling Sports Westfield Albany,"219 Don McKinnon Drive, Albany, Auckland 0632",Friday 13 August,5.00 pm - 5.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7275094, 'lng': 174.7111625}, 'southwest': {'lat': -36.7296707, 'lng': 174.7065998}}, 'location': {'lat': -36.7282464, 'lng': 174.7096769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7272410697085, 'lng': 174.7111625}, 'southwest': {'lat': -36.7299390302915, 'lng': 174.7065998}}}, 'place_id': 'ChIJQzRVJZU7DW0RtBbvlWeFRtE', 'types': ['premise']}]",-36.7282464,174.7096769
104,Public Bus 326 Mangere-Otahuhu,Auckland,Friday 13 August,4.30 pm - 6.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}], 'formatted_address': 'Auckland, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}, 'location': {'lat': -36.85088270000001, 'lng': 174.7644881}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}}, 'place_id': 'ChIJ--acWvtHDW0RF5miQ2HvAAU', 'types': ['locality', 'political']}]",-36.85088270000001,174.7644881
105,The Cosmetic Clinic WestCity Mall,"Shop 237 West City Waitakere, Henderson, Auckland, 0612",Friday 13 August,4.30 pm - 5.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '7', 'short_name': '7', 'types': ['street_number']}, {'long_name': 'Catherine Street', 'short_name': 'Catherine St', 'types': ['route']}, {'long_name': 'Henderson', 'short_name': 'Henderson', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0612', 'short_name': '0612', 'types': ['postal_code']}], 'formatted_address': '7 Catherine Street, Henderson, Auckland 0612, New Zealand', 'geometry': {'location': {'lat': -36.8808089, 'lng': 174.6325246}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.87945991970849, 'lng': 174.6338735802915}, 'southwest': {'lat': -36.88215788029149, 'lng': 174.6311756197085}}}, 'place_id': 'ChIJn5Lz87NBDW0RfrvHekMD2IE', 'types': ['establishment', 'point_of_interest', 'shopping_mall']}]",-36.8808089,174.6325246
106,West City Henderson,"7 Catherine Street, Henderson, Auckland 0612",Friday 13 August,4.20 pm - 6.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '7', 'short_name': '7', 'types': ['street_number']}, {'long_name': 'Catherine Street', 'short_name': 'Catherine St', 'types': ['route']}, {'long_name': 'Henderson', 'short_name': 'Henderson', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0612', 'short_name': '0612', 'types': ['postal_code']}], 'formatted_address': '7 Catherine Street, Henderson, Auckland 0612, New Zealand', 'geometry': {'location': {'lat': -36.8806341, 'lng': 174.6327578}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8792851197085, 'lng': 174.6341067802915}, 'southwest': {'lat': -36.8819830802915, 'lng': 174.6314088197085}}}, 'place_id': 'ChIJLV-68bNBDW0RjAUM248aA4g', 'types': ['subpremise']}]",-36.8806341,174.6327578
107,Public Bus 309X Queen St-Newmarket-Mangere,Auckland,Friday 13 August,3.30 pm - 5.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}], 'formatted_address': 'Auckland, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}, 'location': {'lat': -36.85088270000001, 'lng': 174.7644881}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}}, 'place_id': 'ChIJ--acWvtHDW0RF5miQ2HvAAU', 'types': ['locality', 'political']}]",-36.85088270000001,174.7644881
108,Mitre 10 Mega - Glenfield,"15 Poland Road, Wairau Valley, Auckland 0627",Friday 13 August,3.15 pm - 3.45 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '15', 'short_name': '15', 'types': ['street_number']}, {'long_name': 'Poland Road', 'short_name': 'Poland Rd', 'types': ['route']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': '15 Poland Road, Auckland 0627, New Zealand', 'geometry': {'location': {'lat': -36.7764383, 'lng': 174.741089}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -36.7750893197085, 'lng': 174.7424379802915}, 'southwest': {'lat': -36.77778728029149, 'lng': 174.7397400197085}}}, 'place_id': 'EhsxNSBQb2xhbmQgUm9hZCwgTmV3IFplYWxhbmQiGhIYChQKEgnbMTn9ojkNbRHr0iT9hvc0BRAP', 'types': ['street_address']}]",-36.7764383,174.741089
